Country Name,Country Code,Series Name,Series Code,2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021],2022 [YR2022],2023 [YR2023],2024 [YR2024],2025 [YR2025]
Oman,OMN,"Unemployment, female (% of female labor force) (modeled ILO estimate)",SL.UEM.TOTL.FE.ZS,8.416,8.209,8.226,8.538,8.647,8.511,8.247,8.143,7.919,8.343,8.913,9.986,10.789,11.324,11.91,12.657,13.233,10.486,7.773,8.46,10.907,5.875,11.477,11.296,11.425,11.137
Oman,OMN,"Unemployment, female (% of female labor force) (national estimate)",SL.UEM.TOTL.FE.NE.ZS,..,..,..,..,..,..,..,..,8.089,..,..,..,..,..,..,..,13.675,..,7.1,..,9.68,5.6,10.6,9.3,9.7,..
Oman,OMN,"Unemployment, male (% of male labor force) (modeled ILO estimate)",SL.UEM.TOTL.MA.ZS,3.661,3.523,3.543,3.776,3.86,3.761,3.571,3.498,3.343,3.054,2.861,2.843,2.646,2.381,2.161,1.979,1.744,1.313,0.876,1.002,1.532,1.154,1.783,1.725,1.751,1.875
Oman,OMN,"Unemployment, male (% of male labor force) (national estimate)",SL.UEM.TOTL.MA.NE.ZS,..,..,..,..,..,..,..,..,3.415,..,..,..,..,..,..,..,1.802,..,0.8,..,1.36,1.1,1.6,1.7,..,..
Oman,OMN,"Unemployment, total (% of total labor force) (modeled ILO estimate)",SL.UEM.TOTL.ZS,4.433,4.298,4.335,4.599,4.693,4.589,4.387,4.309,4.142,3.977,3.911,3.95,3.753,3.553,3.453,3.403,3.266,2.523,1.8,2.045,2.94,1.9,3.3,3.176,3.203,3.251
Oman,OMN,"Unemployment, total (% of total labor force) (national estimate)",SL.UEM.TOTL.NE.ZS,..,..,..,..,..,..,..,..,4.142,..,..,..,..,..,..,..,3.266,..,1.8,..,2.94,1.9,3.3,3.2,3.3,..
Oman,OMN,Broad money growth (annual %),FM.LBL.BMNY.ZG,6.02405600277668,10.8040508275195,5.5549861907127,2.42239735966085,4.08087581670296,21.6540623928236,24.4498353743116,34.6701889993094,23.2661977658565,4.73499908007441,11.3420938618855,12.1811464065537,10.7270154974111,8.48530598060621,12.0293583025555,14.2100843565087,1.83087447760822,4.18172214160061,..,..,..,..,..,..,..,..
Oman,OMN,Broad money (% of GDP),FM.LBL.BMNY.GD.ZS,28.0886572884049,31.1988264367951,31.7043084104773,30.2822472949811,27.4695601968529,26.709252585626,27.7196156641887,32.9070955873247,28.0672357199542,37.0034649635824,35.1532511364546,33.0725305190316,32.4678482089459,34.2330919567154,37.2079869286364,50.0474329721818,53.393632969848,51.685783578969,..,..,..,..,..,..,..,..
Qatar,QAT,GDP (current US$),NY.GDP.MKTP.CD,17759890109.8901,17538461538.4615,19363736263.7363,23533791208.7912,31734065934.0659,44530494505.4945,60882142857.1429,79712087912.0879,115270054945.055,97798351648.3516,123627197802.198,167775274725.275,186833516483.516,198727747252.747,206224725274.725,161739835164.835,151732142857.143,161099175824.176,183335164835.165,176371428571.429,144411538461.538,179732142857.143,235709340659.341,217308516483.516,219162637362.637,..
Qatar,QAT,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,8.02812545191884,3.89818666233907,7.18215168021513,3.71995867654906,19.2189153397893,7.49275848279068,26.1702456703032,17.9856568160263,17.6635563626089,11.9565611289086,19.5921744776308,13.3752345495477,4.73008513739958,5.55610364218512,5.33434159770252,4.75332372902957,3.06410503214877,-1.49756209084892,1.23483197031548,0.688255893930972,-3.55750284254954,1.62693587314129,4.18497018544697,1.53979117720789,2.35970586926597,..
